"package","version","error","warning","note","errs"
"rgdal","1.5-32",0,0,3,FALSE
"RgoogleMaps","1.4.5.3",0,0,1,FALSE
"rgplates","0.1.0",1,0,0,TRUE
"rgrass7","0.2-10",1,0,1,TRUE
"rioja","0.9-26",0,0,1,FALSE
"riverdist","0.15.5",1,0,0,TRUE
"rmapzen","0.4.3",1,0,0,TRUE
"rnaturalearth","0.1.0",0,0,2,FALSE
"rnoaa","1.3.8",0,0,1,FALSE
"rosm","0.2.6",1,0,0,TRUE
"rpostgis","1.4.3",1,0,0,TRUE
"RSAGA","1.3.0",1,0,0,TRUE
"Rsagacmd","0.2.0",1,0,0,TRUE
"RSIP","1.0.0",1,0,0,TRUE
"RSurvey","0.9.3",1,0,0,TRUE
"RTL","1.2.0",0,0,2,FALSE
"rTLS","0.2.5.2",1,0,0,TRUE
"rtop","0.5-14",2,0,1,TRUE
"Rtrack","1.0.0",1,0,0,TRUE
"rworldmap","1.3-6",1,0,0,TRUE
"sdmpredictors","0.2.12",1,0,0,TRUE
"secrlinear","1.1.4",1,0,0,TRUE
"SegEnvIneq","1",1,0,0,TRUE
"sen2r","1.5.1",1,0,0,TRUE
"SeuratObject","4.1.0",1,0,0,TRUE
"shadow","0.7.1",1,0,0,TRUE
"ShapePattern","2.2.0",1,0,0,TRUE
"sharpshootR","1.9",0,0,1,FALSE
"sp","1.5-0",3,0,3,TRUE
"SpaDES.tools","1.0.0",1,0,0,TRUE
"spatialEco","1.3-7",1,0,0,TRUE
"SpatialEpi","1.2.7",1,0,0,TRUE
"SpatialGraph","1.0-2",1,0,0,TRUE
"spatsoc","0.1.16",1,0,0,TRUE
"spatsurv","1.8",1,0,0,TRUE
"sperich","1.5-8",1,0,0,TRUE
"SpNetPrep","1.2",1,0,0,TRUE
"SSN","1.1.15",1,0,0,TRUE
"stampr","0.2",1,0,0,TRUE
"streamDepletr","0.1.1",2,0,1,TRUE
"SubgrPlots","0.1.3",1,0,2,TRUE
"SurfaceTortoise","1.0.2",1,0,0,TRUE
"surveillance","1.20.1",0,0,4,FALSE
"tigris","1.6.1",1,0,0,TRUE
"TileManager","0.4.1",1,0,0,TRUE
"TOC","0.0-5",1,0,0,TRUE
"track2KBA","1.0.2",1,0,0,TRUE
"trajectories","0.2-3",1,0,2,TRUE
"tripEstimation","0.0-44",1,0,0,TRUE
"TUFLOWR","0.1.0",1,0,0,TRUE
"uavRmp","0.6.0",1,0,0,TRUE
"ursa","3.9.6",1,0,0,TRUE
"usmap","0.6.0",3,0,2,TRUE
"voluModel","0.1.6",1,0,0,TRUE
"Watersheds","1.1",1,0,0,TRUE
"waver","0.2.1",1,0,0,TRUE
"wildlifeDI","0.4.1",1,0,0,TRUE
"wux","2.2-1",1,0,0,TRUE
