"package","function","used_by"
"rgdal","readOGR","APfun ASIP bdvis bfsMaps biosurvey briskaR cropDemand cropZoning eechidna ExposR HurreconR hyfo iconr importinegi LabourMarketAreas letsR malariaAtlas mapReasy micromapST modchart naijR OasisR openSTARS plotKML rcanvec rdhs ref.ICAR riverdist rmapzen RSIP SegEnvIneq ShapePattern SSN ursa wallace wux"
"rgdal","rgdal_extSoftVersion","ConR micromapST"
"rgdal","saveDataset","ursa"
"rgdal","set_P6_datum_hard_fail","micromapST"
"rgdal","set_rgdal_show_exportToProj4_warnings","inlabru micromapST"
"rgdal","set_thin_PROJ6_warnings","inlabru micromapST"
"rgdal","setCPLConfigOption","ExposR HurreconR ursa"
"rgdal","showP4","ursa"
"rgdal","showSRID","inlabru"
"rgdal","showWKT","geotopbricks quickmapr ursa"
"rgdal","writeGDAL","ParallelDSM plotKML sperich"
"rgdal","writeOGR","animaltracker APfun ConR ctmm gDefrag GPSeqClus iSDM LabourMarketAreas micromapST OCNet openSTARS plotKML PWFSLSmoke rcanvec ShapePattern SSN ursa"
"rgeos","createSPComment","ggOceanMaps"
"rgeos","gArea","bivariatemaps eechidna ForestTools gDefrag itcSegment LabourMarketAreas lakemorpho leastcostpath letsR MBNMAdose psda quickmapr redlistr ShapePattern spatsoc wux"
"rgeos","gBinarySTRtreeQuery","waver"
"rgeos","gBoundary","leastcostpath Watersheds"
"rgeos","gBuffer","biosurvey bRacatus briskaR changeRangeR cleangeo ConR CoordinateCleaner FLightR geoviz ggvoronoi hero itcSegment lakemorpho leastcostpath micromapST phyloregion shadow ShapePattern spatsoc spatsurv wallace Watersheds flowDensity"
"rgeos","gCentroid","atakrig biosurvey ForestTools geogrid gfcanalysis hierarchicalDS letsR micromapST OasisR SegEnvIneq shadow Watersheds"
"rgeos","gContains","animalEKF eechidna lakemorpho letsR pycno"
"rgeos","gConvexHull","gfcanalysis itcSegment shadow"
"rgeos","gCrosses","cleangeo lakemorpho Watersheds"
"rgeos","gDifference","birdring briskaR cleangeo gDefrag lakemorpho leastcostpath micromapST Rtrack flowDensity"
"rgeos","gDisjoint","lgcp"
"rgeos","gDistance","antaresViz FLightR gDefrag ggOceanMaps OasisR quickmapr SegEnvIneq shadow SpatialGraph Watersheds waver"
"rgeos","getScale","cleangeo"
"rgeos","gIntersection","animalEKF birdring bRacatus changeRangeR cleangeo DivE eechidna gDefrag ggOceanMaps LabourMarketAreas lakemorpho leastcostpath lgcp Momocs OasisR psda red shadow spatialfusion SpatialGraph spatsoc waver wux"
"rgeos","gIntersects","birdring cartograflow eechidna gfcanalysis lakemorpho lgcp shadow spatsoc Watersheds waver flowDensity"
"rgeos","gIsEmpty","animalEKF ShapePattern"
"rgeos","gIsValid","cleangeo ggOceanMaps leastcostpath"
"rgeos","gLength","bfsMaps lakemorpho leastcostpath OasisR quickmapr shadow ShapePattern"
"rgeos","gLineMerge","gDefrag shadow"
"rgeos","gNode","leastcostpath"
"rgeos","gOverlaps","lakemorpho letsR"
"rgeos","gPointOnSurface","gDefrag"
"rgeos","gPolygonize","leastcostpath"
"rgeos","gSimplify","eechidna FLightR ggOceanMaps red"
"rgeos","gTouches","gDefrag gfcanalysis HCV lgcp"
"rgeos","gUnaryUnion","ForestTools gDefrag leastcostpath lgcp shadow waver"
"rgeos","gUnion","FLightR gDefrag shadow spatialfusion"
"rgeos","gUnionCascaded","birdring briskaR cleangeo"
"rgeos","gWithin","GeoAdjust lakemorpho quickmapr"
"rgeos","gWithinDistance","FLightR quickmapr SpatialGraph"
"rgeos","intersect","ggvoronoi muHVT"
"rgeos","readWKT","bfsMaps ConR MBNMAdose rpostgis"
"rgeos","writeWKT","rpostgis"
"sp",".invert","spacetime"
"sp","as.image.SpatialGridDataFrame","adehabitatHR adehabitatMA maptools rworldmap trip tripEstimation"
"sp","as.SpatialLines.SLDF","shp2graph telemac"
"sp","as.SpatialPolygons.GridTopology","AQuadtree FRK"
"sp","as.SpatialPolygons.PolygonsList","GeoAdjust maptools"
"sp","bbexpand","trajectories"
"sp","bbox","BayesX cartography DEPONS2R disaggregation elevatr gmGeostats GWPR.light hero INLAspacetime intkrige latticeDensity leaflet malariaAtlas mapedit micromapST oceanmap ptools quickmapr raster RgoogleMaps rinat rosm spatialfusion SUNGEO"
"sp","bpy.colors","gstat trajectories"
"sp","bubble","AHMbook automap"
"sp","cbind.Spatial","inlabru"
"sp","char2dms","geoviz"
"sp","coordinates","AGPRIS AHMbook animalEKF animaltracker antaresViz aqp AquaBEHER ASGS.foyer BayesX biosurvey bRacatus calibrationband canadianmaps cartography changeRangeR cmsafops cmsafvis ConR CoordinateCleaner crawl ctmm dartR DEPONS2R DSSP EgoCor elevatr EnvExpInd epitweetr ForestGapR gaiah gdistance GeNetIt GeodesiCL geodiv geofacet geogrid geoR geoTS ggOceanMaps gmGeostats graph4lg GWPR.light hero hydroPSO inlabru INLAspacetime intkrige iSDM IsoriX landscapemetrics leaflet leafR leastcostpath loa mapedit mapview maskRangeR MinBAR momentuHMM Morphoscape movecost openSTARS PopGenHelpR ptools quadmesh quickmapr RAC raster rcanvec RgoogleMaps rnpn rosm shadow spDates spex spm spm2 SUMMER SUNGEO trip TUFLOWR uavRmp variosig virtualspecies wikilake MoleculeExperiment stJoincount"
"sp","coordinatevalues","trip"
"sp","coordnames","inlabru intkrige"
"sp","CRS","adehabitatHR adehabitatHS adehabitatLT adehabitatMA AFM AGPRIS angstroms animaltracker anipaths antaresViz aqp AquaBEHER atakrig ausplotsR bamlss bfsMaps biogeo bioRad biosurvey birdring birdscanR bivariatemaps bRacatus briskaR canadianmaps changeRangeR cleangeo cmsafops cmsafvis ConR CoordinateCleaner cruts ctmm dartR DEPONS2R dggridR dismo dispeRse DRHotNet dtwSat dynamAedes ecospat EEAaq elevatr EMbC epitweetr fasterize FLightR FRK gDefrag gdistance GeNetIt GeoAdjust GeodesiCL geodiv geofacet geogrid geojsonio geomerge geoviz gfcanalysis ggOceanMaps gmGeostats googletraffic gps.track GPSeqClus grainscape graticule gwer gwfa hero Hmsc hydroTSM iccTraj inlabru INLAspacetime intamap intSDM IsoriX itcSegment kehra lakemorpho leaflet letsR lgcp loa macroBiome mapedit MapGAM mapmisc maptools mapview MEDITS meteo meteoForecast MetricGraph micromapST MinBAR momentuHMM morphomap move nodiv npsp oceanic OpenStreetMap OSMscale phyloregion places plotKML PWFSLSmoke pycno QRAGadget quadmesh quickmapr RAC raster rasterVis rbgm rcanvec rCAT RCGLS RchivalTag rcrimeanalysis red rgeos RgoogleMaps riverdist rleafmap rosm rpostgis RSIP rtop RWmisc sdm sdStaf SeerMapper seg shadow SimSurvey soilassessment SongEvo spacetime SpatialEpi spatialfusion SpatialGraph spatsoc spatsurv spbabel spdep sperich spex spgwr stppSim stxplore SUNGEO SWTools tiler track2KBA TrajDataMining trajectories trip uavRmp vec2dtransf waver WEGE wildlifeDI wkb wux zoon"
"sp","degAxis","satin"
"sp","degreeLabelsEW","graticule RgoogleMaps"
"sp","degreeLabelsNS","graticule rasterVis RgoogleMaps"
"sp","disaggregate","CoordinateCleaner ForestTools landscapemetrics"
"sp","elide","dartR"
"sp","fullgrid","PopGenHelpR spDates TUFLOWR"
"sp","geometry","micromapST raster"
"sp","get_ll_TOL","spdep"
"sp","get_ll_warn","IsoriX"
"sp","getGridIndex","gmGeostats"
"sp","getGridTopology","gmGeostats landsat pycno spcosa"
"sp","getPolygonCoordsSlot","adehabitatMA"
"sp","getPolygonHoleSlot","adehabitatMA"
"sp","getPolygonsIDSlot","adehabitatMA"
"sp","getPolygonsPolygonsSlot","adehabitatMA"
"sp","getSpPPolygonsLabptSlots","mapReasy"
"sp","getSpPpolygonsSlot","adehabitatMA"
"sp","gridded","dbmss gaiah geoTS IsoriX leafR Morphoscape multimark PopGenHelpR RAC raster spDates TUFLOWR"
"sp","gridparameters","adehabitatHR adehabitatHS adehabitatLT adehabitatMA gstat intkrige maptools npsp plotKML rworldmap"
"sp","GridTopology","adegraphics AQuadtree bioRad birdring cmsafvis FedData ForestTools geomerge gfcanalysis gmGeostats gstat lgcp maptools npsp plotKML pycno raster rworldmap surveillance"
"sp","HexPoints2SpatialPolygons","FRK geogrid phyloregion"
"sp","identicalCRS","adehabitatLT AQuadtree CENFA ConR FLightR ggOceanMaps maptools rgeos rmapshaper RWmisc spacetime SpatialPosition spcosa surveillance TrajDataMining trajectories"
"sp","image2Grid","adehabitatMA trip"
"sp","is.projected","GeNetIt intkrige maptools ptools riverdist surveillance track2KBA trip"
"sp","layout.north.arrow","hydroTSM UScensus2010"
"sp","layout.scale.bar","hydroTSM surveillance"
"sp","Line","adehabitatLT animalEKF birdring briskaR calibrationband cleangeo ConR dartR DivE EMbC excursions FEA FRK gDefrag gdistance geodiv gps.track grainscape graticule icosa image.ContourDetector image.LineSegmentDetector inlabru intkrige lakemorpho mapmisc maptools marmap MetricGraph Momocs move oceanmap OCNet Orcs plotKML PopGenReport quickmapr raster rbgm shadow spacetime SpatialGraph spatsoc spbabel spdep SSN telemac TrajDataMining trajectories trip uavRmp vec2dtransf waver wkb"
"sp","LineLength","maptools MetricGraph plotKML trajectories"
"sp","Lines","adehabitatLT animalEKF birdring briskaR calibrationband cleangeo ConR dartR DivE EMbC excursions FEA FRK gDefrag geodiv gps.track grainscape graticule icosa image.ContourDetector image.LineSegmentDetector inlabru intkrige lakemorpho mapedit mapmisc maptools mapview marmap MetricGraph Momocs move oceanmap OCNet Orcs plotKML PopGenReport quickmapr raster rbgm rgeos secrlinear shadow spacetime SpatialGraph spatsoc spbabel spdep SSN telemac TrajDataMining trajectories trip uavRmp vec2dtransf waver wkb"
"sp","longlat.scales","spacetime trajectories"
"sp","makegrid","dggridR spatialfusion TUFLOWR"
"sp","mapasp","gstat maptools spacetime trajectories"
"sp","merge","AQuadtree expowo geogrid GWPR.light inlabru LabourMarketAreas modchart openSTARS phyloregion SUMMER"
"sp","over","AFM animalEKF animaltracker antaresViz ASGS.foyer biosurvey cmsafvis ConR CoordinateCleaner FLightR ForestTools FORTLS GeoAdjust geoR ggOceanMaps inlabru INLAspacetime iSDM itcSegment multimark ohun phyloregion ptools raster red rLiDAR Rtrack seg sfdct shadow StatDA SUMMER SWTools wux MoleculeExperiment"
"sp","overDF_for_rgeos","rgeos spacetime"
"sp","plot","animalEKF biosurvey camtrapR cartography ceramic ConR cooltools ctmm dismo DrugSim2DR FEA FLightR geogrid GGoutlieR graphx hero hypervolume icosa image.ContourDetector image.LineSegmentDetector KnowBR micromapST multimark raster rcanvec RgoogleMaps roads rosm Rtrack spatsurv SubgrPlots SUMMER"
"sp","point.in.polygon","animalEKF bamlss BasketballAnalyzeR cholera colorscience ctmm dismo EEM ei espadon FeedbackTS frenchCurve gazepath geoBayes gmGeostats gMOIP gstat GWSDAT inlabru IsoriX Kernelheaping marmap morphomap Morphoscape mosaicCalc muHVT pavo RapidPolygonLookup rasterVis rbgm RclusTool rddapp rerddapXtracto soiltexture surveillance Ternary vivid Cardinal flowDensity SPIAT structToolbox"
"sp","points2grid","FRK gmGeostats multimark nodiv"
"sp","Polygon","abmR adegraphics adehabitatHR adehabitatMA AFM angstroms animalEKF animaltracker AQuadtree archiDART automap bamlss BayesX BIOMASS briskaR changeRangeR cholera cleangeo ctmm DEPONS2R dggridR dismo doolkit DRHotNet dtwSat eechidna elevatr excursions FEA FORTLS FRK gecko geojsonio geoR GeoRange ggOceanMaps ggvoronoi gwfa hemispheR hero icosa inlabru INLAspacetime intamap Irescale iSDM itcSegment landscapemetrics leafletCN leastcostpath letsR lgcp maptools meteo micromap micromapST Momocs movecost mvGPS naturaList oceanmap ohun Orcs patternize perspectev pgirmess phenopix phyloregion PointedSDMs PopGenReport psda ptools quickmapr r2d2 raster rbgm RchivalTag rcrimeanalysis red redlistr refreg rgeos rLiDAR rtop Rtrack scBio SDPDmod SeuratObject soilassessment SpatialEpi spatialfusion spatsurv spbabel SRTsim SSDM StatDA STMedianPolish stppSim SubgrPlots SUMMER surveillance TrajDataMining uavRmp vec2dtransf Watersheds waver wkb wux cellmigRation flowDensity MoleculeExperiment SPIAT"
"sp","polygons","BayesX leaflet"
"sp","Polygons","abmR adegraphics adehabitatHR adehabitatMA AFM angstroms animalEKF animaltracker AQuadtree bamlss BayesX bfsMaps BIOMASS briskaR changeRangeR cleangeo ConR CoordinateCleaner ctmm DEPONS2R dggridR dismo DRHotNet dtwSat elevatr excursions FEA FORTLS FRK gecko geojsonio geoR ggOceanMaps ggvoronoi gwfa hemispheR hero icosa inlabru INLAspacetime intamap iSDM itcSegment landscapemetrics leafletCN leastcostpath letsR lgcp mapedit mapmisc maptools mapview meteo micromap micromapST Momocs movecost mvGPS naturaList oceanmap ohun Orcs patternize perspectev pgirmess phenopix phyloregion PointedSDMs polyCub PopGenReport psda ptools quickmapr r2d2 raster rbgm RchivalTag rcrimeanalysis red redlistr refreg rgeos rLiDAR rtop Rtrack scBio SDPDmod SeuratObject soilassessment SpatialEpi spatialfusion spatsurv spbabel spex spgwr SSDM StatDA STMedianPolish stppSim SubgrPlots surveillance TrajDataMining uavRmp vec2dtransf Watersheds waver wkb wux xROI flowDensity MoleculeExperiment SPIAT"
"sp","proj4string","AGPRIS AquaBEHER bfsMaps biosurvey bivariatemaps bRacatus canadianmaps cmsafvis ConR CoordinateCleaner crawl ctmm elevatr epitweetr FLightR ForestTools GeNetIt GeodesiCL geodiv geojsonio geoviz ggOceanMaps gmGeostats GPSeqClus hydroTSM inlabru IsoriX lakemorpho loa mapview MetricGraph momentuHMM oceanmap ptools RAC raster RgoogleMaps riverdist rpostgis scBio shadow spDates stxplore SUMMER SUNGEO trip TUFLOWR uavRmp"
"sp","rbind.SpatialLines","shadow"
"sp","rbind.SpatialPoints","shadow"
"sp","rbind.SpatialPointsDataFrame","geospt"
"sp","rbind.SpatialPolygonsDataFrame","malariaAtlas"
"sp","read.asciigrid","landsat phyloclim"
"sp","remove.duplicates","intamap uavRmp"
"sp","select.spatial","MetaLandSim"
"sp","set_ll_warn","IsoriX"
"sp","sp.grid","adegraphics"
"sp","sp.lines","adegraphics intkrige"
"sp","sp.points","adegraphics IsoriX"
"sp","sp.polygons","adegraphics IsoriX"
"sp","SpatialGrid","adegraphics bioRad cmsafvis gfcanalysis gmGeostats gstat lgcp maptools multimark plotKML pycno raster surveillance"
"sp","SpatialGridDataFrame","bioRad geojsonio geomerge gmGeostats inlabru intamap lgcp maptools npsp plotKML raster rworldmap spcosa trip"
"sp","SpatialLines","adehabitatLT animalEKF birdring briskaR calibrationband cleangeo ConR dartR DivE EMbC excursions FEA FRK gDefrag gdistance geodiv gps.track grainscape graticule icosa image.ContourDetector image.LineSegmentDetector inlabru intkrige lakemorpho landscapemetrics leaflet mapmisc maptools marmap MetricGraph Momocs move oceanmap OCNet Orcs plotKML PopGenReport quickmapr raster rbgm rgeos rpostgis secrlinear shadow spacetime SpatialGraph spatsoc spbabel spdep SSN telemac TrajDataMining trajectories trip uavRmp vec2dtransf waver wkb"
"sp","SpatialLinesDataFrame","adehabitatLT ConR EMbC epiflows gDefrag geojsonio gps.track grainscape graph4lg graticule gstat inlabru intamap leastcostpath mapmisc maptools move movecost OCNet Orcs plotKML raster rbgm rmapshaper rpostgis secrlinear shadow shp2graph SpatialGraph spbabel spdep SSN TrajDataMining trajectories trip vec2dtransf"
"sp","SpatialLinesLengths","dartR gDefrag GeNetIt PopGenReport SDPDmod secrlinear topoDistance TrajDataMining trajectories"
"sp","SpatialMultiPoints","rpostgis spbabel"
"sp","SpatialMultiPointsDataFrame","rpostgis spbabel"
"sp","SpatialPixels","FRK geogrid gmGeostats lgcp nodiv raster spatsurv track2KBA"
"sp","SpatialPixelsDataFrame","ForestTools FRK gmGeostats inlabru intamap intkrige lgcp marmap nodiv PointedSDMs pycno raster rLiDAR rpostgis seg spatsurv spcosa sperich surveillance"
"sp","SpatialPoints","abmR adehabitatHR adehabitatMA AFM AGPRIS angstroms animalEKF antaresViz aqp ASGS.foyer atakrig automap bamlss bfsMaps biogeo bioRad birdring birdscanR changeRangeR cmsafops cmsafvis CoordinateCleaner covatest ctmm dbmss DEPONS2R dynamAedes ecospat eechidna elevatr epcc FEA FLightR FORTLS FRK GeoAdjust geojsonio geoR geoviz GInSARCorW gmGeostats GPSeqClus grainscape gstat hydroTSM hypervolume icardaFIGSr iccTraj IDE inlabru INLAspacetime intamap isocat itcSegment kehra lakemorpho lgcp macroBiome mapmisc maptools marmap memgene MetaLandSim MetricGraph micromapST Morphoscape move multimark nodiv npsp oceanic ohun phyloclim pycno quadmesh quickmapr r2d2 raptr raster rasterVis rcanvec red refreg rgeos rLiDAR rosm rpostgis rtop Rtrack sdStaf seg SeuratObject shadow spacetime spatialfusion spatsurv spbabel spcosa sperich spqdep SSDM SSN StatDA STMedianPolish stppSim stxplore surveillance SWTools telemac topoDistance track2KBA TrajDataMining trajectories trip TUFLOWR uavRmp UBL vec2dtransf VIM walkboutr Watersheds wkb wux zoon"
"sp","SpatialPointsDataFrame","adehabitatLT AFM animalEKF animaltracker aqp biogeo bioRad biosurvey briskaR ctmm dartR dbmss DEPONS2R dtwSat ecospat elevatr FeedbackTS ForestTools FORTLS FRK gDefrag geodetector geojsonio ggvoronoi gmGeostats GPSeqClus graph4lg gstat gwer inlabru intamap intkrige intSDM landscapemetrics lidR macroBiome mapmisc maptools marmap MetricGraph micromapST move naturaList nodiv OCNet places plotKML PointedSDMs psgp PWFSLSmoke raster rasterVis rbgm RgoogleMaps rmapshaper rpostgis rtop sdm secrlinear seg shadow SongEvo SpatialBSS spatialfusion SpatialGraph spatsoc spbabel spcosa spDates spgwr SSN streamDepletr surveillance telemac track2KBA trip TUFLOWR uavRmp vec2dtransf"
"sp","SpatialPolygons","abmR adegraphics adehabitatHR adehabitatMA AFM angstroms animalEKF animaltracker AQuadtree bamlss BayesX bfsMaps BIOMASS birdring briskaR changeRangeR cleangeo ConR CoordinateCleaner ctmm DEPONS2R dggridR dismo DRHotNet dtwSat elevatr excursions FEA FLightR FORTLS FRK gecko geojsonio geoR ggOceanMaps ggvoronoi gwfa hemispheR hero icosa inlabru INLAspacetime intamap iSDM itcSegment lakemorpho landscapemetrics leafletCN leastcostpath letsR lgcp mapmisc maptools meteo micromap micromapST Momocs movecost mvGPS naturaList oceanmap ohun Orcs patternize pgirmess phenopix phyloregion PointedSDMs polyCub PopGenReport psda ptools quickmapr r2d2 raster rbgm RchivalTag rcrimeanalysis red redlistr refreg rgeos rLiDAR rpostgis rtop Rtrack scBio SDPDmod SeuratObject soilassessment SpatialEpi spatialfusion spatsurv spbabel spex SSDM StatDA STMedianPolish stppSim SubgrPlots surveillance TrajDataMining uavRmp vec2dtransf Watersheds waver wkb wux xROI flowDensity MoleculeExperiment SPIAT"
"sp","SpatialPolygonsDataFrame","adehabitatHR AQuadtree bfsMaps biosurvey briskaR cleangeo ConR CoordinateCleaner ctmm dismo eechidna FedData FLightR ForestTools FORTLS FRK geogrid ggOceanMaps ggvoronoi graticule gstat gwer gwfa inlabru intamap itcSegment LabourMarketAreas landsepi leafletCN leastcostpath lgcp mapmisc maptools micromapST Orcs patternize pgirmess phyloregion plotKML ptools raster rbgm RchivalTag red rgeos rLiDAR rmapzen rpostgis rtop SeerMapper seg shadow spatialfusion spatsurv spbabel spex spgwr stppSim TrajDataMining uavRmp vec2dtransf"
"sp","spChFIDs","antaresViz APfun bRacatus"
"sp","spDists","aire.zmvm automap cshapes FLightR geoBayes geogrid gstat HDSpatialScan hero Hmsc iccTraj inlabru intkrige mapmisc meteo MetricGraph rtop smacpod smerc SongEvo spdep sphet STMedianPolish trackeR trajectories walkboutr"
"sp","spDistsN1","AFM chillR cholera cmsafops FLightR geogrid GWLelast intamap momentuHMM move moveHMM rbgm rtop spDates spgwr surveillance track2KBA wux"
"sp","spplot","disaggregation hydroPSO hydroTSM intkrige SpatialBSS spDates SUMMER"
"sp","spsample","animalEKF cholera ctmm dots FEA FLightR FRK geogrid hero icosa leastcostpath Momocs phyloregion PopGenHelpR raptr raster spDates streamDepletr"
"sp","spTransform","AGPRIS antaresViz biosurvey bivariatemaps canadianmaps CoordinateCleaner ctmm elevatr epitweetr fastmaRching FLightR GeoAdjust GeodesiCL geoviz ggOceanMaps icosa inlabru INLAspacetime loa macroBiome mapedit mapview micromapST MinBAR momentuHMM mregions quickmapr raster rcanvec RgoogleMaps riverdist rosm rpostgis SeerMapper shadow SUNGEO track2KBA uavRmp"
"sp","surfaceArea","lidR"
"sp","wkt","elevatr inlabru micromapST"
"sp","zerodist","automap gstat intamap meteo rgeos spacetime spDates"
