package,functions
incR,maptools::crepuscule
inlabru,rgdal::CRSargs rgdal::get_rgdal_show_exportToProj4_warnings rgdal::get_thin_PROJ6_warnings rgdal::new_proj_and_gdal rgdal::readGDAL rgdal::set_rgdal_show_exportToProj4_warnings rgdal::set_thin_PROJ6_warnings rgdal::showSRID
intamap,rgdal::CRSargs rgdal::readOGR
intSDM,maptools::map2SpatialPolygons
iSDM,maptools::spRbind rgdal::writeOGR
itcSegment,rgeos::gArea rgeos::gBuffer rgeos::gConvexHull
kernelPhil,rgdal::project
LabourMarketAreas,maptools::unionSpatialPolygons rgdal::readOGR rgdal::writeOGR rgeos::gArea rgeos::gIntersection
lakemorpho,rgeos::gArea rgeos::gBuffer rgeos::gContains rgeos::gCrosses rgeos::gDifference rgeos::gIntersection rgeos::gIntersects rgeos::gLength rgeos::gOverlaps rgeos::gWithin
leastcostpath,rgeos::gArea rgeos::gBoundary rgeos::gBuffer rgeos::gDifference rgeos::gIntersection rgeos::gIsValid rgeos::gLength rgeos::gNode rgeos::gPolygonize rgeos::gUnaryUnion
letsR,rgdal::readOGR rgeos::gArea rgeos::gCentroid rgeos::gContains rgeos::gOverlaps
lgcp,rgeos::gDisjoint rgeos::gIntersection rgeos::gIntersects rgeos::gTouches rgeos::gUnaryUnion
malariaAtlas,rgdal::readOGR
MapGAM,maptools::map2SpatialLines maptools::SpatialLines2PolySet maptools::SpatialPolygons2PolySet
mapReasy,rgdal::ogrListLayers rgdal::readOGR
mapsRinteractive,rgeos::gIntersection
MBNMAdose,rgeos::gArea rgeos::readWKT
micromap,maptools::unionSpatialPolygons
micromapST,maptools::spRbind maptools::unionSpatialPolygons rgdal::CRSargs rgdal::new_proj_and_gdal rgdal::readOGR rgdal::rgdal_extSoftVersion rgdal::set_P6_datum_hard_fail rgdal::set_rgdal_show_exportToProj4_warnings rgdal::set_thin_PROJ6_warnings rgdal::writeOGR rgeos::gBuffer rgeos::gCentroid rgeos::gDifference
modchart,rgdal::readOGR
Momocs,rgeos::gIntersection
monographaR,maptools::writePolyShape maptools::writeSpatialShape
movecost,rgdal::writeOGR rgeos::gArea rgeos::gLength
muHVT,rgeos::intersect
naijR,rgdal::readOGR
nhdR,rgdal::ogrInfo rgdal::ogrListLayers
OasisR,rgdal::readOGR rgeos::gCentroid rgeos::gDistance rgeos::gIntersection rgeos::gLength
occTest,rgdal::readOGR rgdal::writeOGR rgeos::createPolygonsComment rgeos::gContains rgeos::gContainsProperly rgeos::gEquals rgeos::gIntersects rgeos::gUnarySTRtreeQuery
oceanic,rgeos::gSimplify
OCNet,rgdal::writeOGR
openadds,maptools::readShapeSpatial
openSTARS,rgdal::readGDAL rgdal::readOGR rgdal::writeOGR
ParallelDSM,rgdal::writeGDAL
phyloregion,rgeos::gBuffer
plotKML,rgdal::CRSargs rgdal::readGDAL rgdal::readOGR rgdal::writeGDAL rgdal::writeOGR
postGIStools,rgdal::showEPSG rgeos::readWKT rgeos::writeWKT
prevR,rgdal::writeOGR
psda,rgeos::gArea rgeos::gIntersection
ptools,rgeos::gArea rgeos::gIntersection
PWFSLSmoke,maptools::solarnoon maptools::sunriset rgdal::writeOGR
quickmapr,rgdal::showWKT rgeos::gArea rgeos::gDistance rgeos::gLength rgeos::gWithin rgeos::gWithinDistance
quickPlot,rgeos::gArea rgeos::gIntersects
rangemap,maptools::map2SpatialPolygons rgdal::writeOGR rgeos::gBuffer rgeos::gCentroid rgeos::gIntersection rgeos::gSimplify rgeos::gUnaryUnion
raptr,rgeos::gArea rgeos::gCentroid
rcanvec,rgdal::readOGR rgdal::writeOGR
RchivalTag,maptools::PolySet2SpatialPolygons maptools::SpatialLines2PolySet maptools::unionSpatialPolygons
rdhs,rgdal::readOGR
red,maptools::kmlPolygon maptools::kmlPolygons rgdal::project rgeos::gIntersection rgeos::gSimplify
redlistr,rgeos::gArea
ref.ICAR,rgdal::readOGR
riverdist,rgdal::readOGR
rKIN,rgeos::gArea rgeos::gContainsProperly rgeos::gIntersection rgeos::gUnaryUnion
rmapzen,maptools::unionSpatialPolygons rgdal::ogrListLayers rgdal::readOGR
rosm,rgdal::CRSargs
rpostgis,rgeos::readWKT rgeos::writeWKT
Rsagacmd,rgdal::writeOGR
RSIP,rgdal::readOGR
rTLS,rgeos::gArea rgeos::gDifference rgeos::gUnion
Rtrack,rgeos::gDifference
rworldmap,maptools::readAsciiGrid
sdmpredictors,rgdal::GDALis3ormore
secrlinear,rgdal::readOGR
SegEnvIneq,rgdal::readOGR rgeos::gCentroid rgeos::gDistance
shadow,rgeos::gBuffer rgeos::gCentroid rgeos::gConvexHull rgeos::gDistance rgeos::gIntersection rgeos::gIntersects rgeos::gLength rgeos::gLineMerge rgeos::gUnaryUnion rgeos::gUnion
ShapePattern,rgdal::readOGR rgdal::writeOGR rgeos::gArea rgeos::gBuffer rgeos::gIsEmpty rgeos::gLength
SpaDES.tools,rgeos::gContains
SpatialEpi,maptools::leglabs
spatialfusion,rgeos::gIntersection rgeos::gUnion
SpatialGraph,rgeos::gDistance rgeos::gIntersection rgeos::gWithinDistance
spatsoc,rgeos::gArea rgeos::gBuffer rgeos::gIntersection rgeos::gIntersects
spatsurv,rgeos::gBuffer
sperich,rgdal::writeGDAL
SSN,maptools::getinfo.shape rgdal::readOGR rgdal::writeOGR
stampr,maptools::unionSpatialPolygons rgeos::gArea rgeos::gBuffer rgeos::gCentroid rgeos::gConvexHull rgeos::gDifference rgeos::gDistance rgeos::gEnvelope rgeos::gIntersection rgeos::gIntersects rgeos::gLength rgeos::gSimplify rgeos::gUnaryUnion
SurfaceTortoise,rgeos::gCentroid rgeos::gDifference rgeos::gIntersection
TOC,rgdal::CRSargs
track2KBA,maptools::spRbind
tripEstimation,rgdal::CRSargs rgdal::project
TUFLOWR,rgdal::readOGR
ursa,rgdal::closeDataset rgdal::CRSargs rgdal::GDAL.close rgdal::GDALcall rgdal::GDALinfo rgdal::getDriver rgdal::getDriverName rgdal::getRasterData rgdal::ogrInfo rgdal::ogrListLayers rgdal::project rgdal::putRasterData rgdal::readOGR rgdal::saveDataset rgdal::setCPLConfigOption rgdal::showP4 rgdal::showWKT rgdal::writeOGR
wallace,rgdal::readOGR rgeos::gBuffer
Watersheds,rgeos::gBoundary rgeos::gBuffer rgeos::gCentroid rgeos::gCrosses rgeos::gDistance rgeos::gIntersects
waver,rgeos::gBinarySTRtreeQuery rgeos::gDistance rgeos::gIntersection rgeos::gIntersects rgeos::gUnaryUnion
wux,rgdal::readOGR rgeos::gArea rgeos::gIntersection
