maptools::as.linnet.SpatialLines,SpNetPrep
rgeos::gDifference,birdring briskaR cleangeo excursions FRK gDefrag lakemorpho leastcostpath mapmisc micromapST Rtrack stampr SurfaceTortoise ursa
rgeos::gDisjoint,lgcp
rgeos::gDistance,antaresViz fieldRS FLightR gDefrag ggOceanMaps GmAMisc maptools OasisR quickmapr SegEnvIneq shadow SpatialGraph stampr Watersheds waver
rgeos::gEnvelope,stampr
rgeos::gEquals,maptools occTest
rgeos::getScale,cleangeo
rgeos::gInterpolate,mapmisc
rgeos::gIntersection,animalEKF AQuadtree birdring bRacatus changeRangeR cleangeo DivE eechidna expp FRK gDefrag ggOceanMaps LabourMarketAreas lakemorpho leastcostpath lgcp mapmisc mapsRinteractive maptools Momocs OasisR osmplotr psda ptools rangemap recurse red rtop secrlinear shadow sp spatialfusion SpatialGraph spatsoc stampr SubgrPlots SurfaceTortoise surveillance ursa waver wux
rgeos::gIntersects,amt birdring cartograflow dsims eechidna gfcanalysis lakemorpho lgcp lingtypology occTest quickPlot rcage shadow spatsoc stampr Watersheds waver
rgeos::gIsEmpty,animalEKF ShapePattern
rgeos::gIsValid,bcmaps cleangeo GeoFIS ggOceanMaps leastcostpath maptools ursa
rgeos::gLength,bfsMaps lakemorpho leastcostpath movecost OasisR quickmapr recurse shadow ShapePattern stampr streamDepletr ursa
rgeos::gLineMerge,gDefrag shadow sp
rgeos::gNode,hypergate leastcostpath
rgeos::gOverlaps,lakemorpho letsR
rgeos::gPointOnSurface,gDefrag
rgeos::gPolygonize,hypergate leastcostpath
rgeos::gSimplify,eechidna FLightR ggOceanMaps mapmisc maptools oceanic rangemap red SeuratObject stampr trajectories ursa
rgeos::gSymdifference,ursa
rgeos::gTouches,expp gDefrag gfcanalysis HCV lgcp rcage
rgeos::gUnarySTRtreeQuery,maptools occTest
rgeos::gUnaryUnion,amt ENMTools excursions ForestTools gDefrag HDSpatialScan hypergate leastcostpath lgcp lingtypology maptools rangemap shadow sp stampr surveillance uavRmp ursa waver
rgeos::gUnion,FLightR gDefrag shadow spatialfusion ursa
rgeos::gUnionCascaded,adehabitatHR birdring briskaR cleangeo expp maptools
rgeos::gWithin,lakemorpho quickmapr
rgeos::gWithinDistance,FLightR quickmapr SpatialGraph
rgeos::intersect,ggvoronoi muHVT
rgeos::overGeomGeom,sp
rgeos::overGeomGeomDF,sp
rgeos::plot,SubgrPlots
rgeos::readWKT,bfsMaps BIEN ConR crestr expp MBNMAdose MBNMAtime postGIStools rgbif rpostgis ursa
rgeos::version_GEOS0,maptools
rgeos::writeWKT,BIEN mregions postGIStools rpostgis sharpshootR
