"package","function","used_by"
"rgdal","writeOGR","animaltracker APfun ConR ctmm gDefrag GPSeqClus iSDM LabourMarketAreas OCNet openSTARS plotKML PWFSLSmoke rcanvec SSN ursa"
"rgeos","gArea","bivariatemaps eechidna gDefrag itcSegment LabourMarketAreas lakemorpho leastcostpath psda quickmapr redlistr spatsoc wux"
"rgeos","gBinarySTRtreeQuery","waver"
"rgeos","gBoundary","leastcostpath Watersheds"
"rgeos","gBuffer","bRacatus briskaR changeRangeR ConR CoordinateCleaner FLightR ggvoronoi itcSegment lakemorpho leastcostpath phyloregion spatsoc spatsurv wallace Watersheds flowDensity"
"rgeos","gCentroid","atakrig geogrid gfcanalysis OasisR SegEnvIneq Watersheds"
"rgeos","gContains","animalEKF eechidna lakemorpho pycno"
"rgeos","gConvexHull","gfcanalysis itcSegment"
"rgeos","gCrosses","lakemorpho Watersheds"
"rgeos","gDifference","birdring briskaR gDefrag lakemorpho leastcostpath flowDensity"
"rgeos","gDisjoint","lgcp"
"rgeos","gDistance","antaresViz FLightR gDefrag OasisR quickmapr SegEnvIneq SpatialGraph Watersheds waver"
"rgeos","gIntersection","animalEKF birdring bRacatus changeRangeR DivE eechidna gDefrag LabourMarketAreas lakemorpho leastcostpath lgcp Momocs OasisR psda red spatialfusion SpatialGraph spatsoc waver wux"
"rgeos","gIntersects","birdring cartograflow eechidna gfcanalysis lakemorpho lgcp spatsoc Watersheds waver flowDensity"
"rgeos","gIsEmpty","animalEKF"
"rgeos","gIsValid","leastcostpath"
"rgeos","gLength","lakemorpho leastcostpath OasisR quickmapr"
"rgeos","gLineMerge","gDefrag"
"rgeos","gNode","leastcostpath"
"rgeos","gOverlaps","lakemorpho"
"rgeos","gPointOnSurface","gDefrag"
"rgeos","gPolygonize","leastcostpath"
"rgeos","gSimplify","eechidna FLightR red"
"rgeos","gTouches","gDefrag gfcanalysis HCV lgcp"
"rgeos","gUnaryUnion","gDefrag leastcostpath lgcp waver"
"rgeos","gUnion","FLightR gDefrag spatialfusion"
"rgeos","gUnionCascaded","birdring briskaR"
"rgeos","gWithin","GeoAdjust lakemorpho quickmapr"
"rgeos","gWithinDistance","FLightR quickmapr SpatialGraph"
"rgeos","intersect","ggvoronoi muHVT"
"rgeos","readWKT","ConR rpostgis"
"rgeos","writeWKT","rpostgis"
"sp",".invert","spacetime"
"sp","as.image.SpatialGridDataFrame","adehabitatHR adehabitatMA maptools rworldmap trip tripEstimation"
"sp","as.SpatialLines.SLDF","shp2graph telemac"
"sp","as.SpatialPolygons.GridTopology","AQuadtree FRK"
"sp","as.SpatialPolygons.PolygonsList","GeoAdjust maptools"
"sp","bbexpand","trajectories"
"sp","bbox","BayesX cartography DEPONS2R disaggregation elevatr gmGeostats GWPR.light INLAspacetime intkrige latticeDensity leaflet malariaAtlas mapedit oceanmap ptools quickmapr raster RgoogleMaps rinat rosm spatialfusion SUNGEO"
"sp","bpy.colors","gstat trajectories"
"sp","bubble","AHMbook automap"
"sp","cbind.Spatial","inlabru"
"sp","coordinates","AGPRIS AHMbook animalEKF animaltracker antaresViz aqp AquaBEHER ASGS.foyer BayesX bioRad bRacatus calibrationband canadianmaps cartography changeRangeR cmsafops cmsafvis ConR CoordinateCleaner crawl ctmm dartR DEPONS2R DSSP EgoCor elevatr EnvExpInd epitweetr ForestGapR gaiah gdistance GeodesiCL geodiv geofacet geogrid geoR geoTS gmGeostats graph4lg GWPR.light hero hydroPSO inlabru INLAspacetime intkrige iSDM IsoriX landscapemetrics leaflet leafR leastcostpath loa mapedit mapview maskRangeR momentuHMM Morphoscape movecost openSTARS ptools quadmesh quickmapr RAC raster rcanvec RgoogleMaps rnpn rosm spDates spex spm spm2 SUMMER SUNGEO trip TUFLOWR uavRmp variosig virtualspecies wikilake stJoincount"
"sp","coordinatevalues","trip"
"sp","coordnames","inlabru intkrige"
"sp","CRS","adehabitatHR adehabitatHS adehabitatLT adehabitatMA AFM AGPRIS agricolaeplotr angstroms animaltracker anipaths antaresViz aqp AquaBEHER atakrig bamlss biogeo bioRad birdring birdscanR bivariatemaps bRacatus briskaR canadianmaps changeRangeR cleangeo cmsafops cmsafvis ConR CoordinateCleaner cruts ctmm dartR DEPONS2R dggridR dismo dispeRse DRHotNet dtwSat dynamAedes ecospat elevatr EMbC epitweetr fasterize FLightR FRK gDefrag gdistance GeoAdjust GeodesiCL geodiv geofacet geogrid geojsonio geomerge gfcanalysis gmGeostats googletraffic gps.track GPSeqClus grainscape graticule gwer gwfa hero Hmsc hydroTSM iccTraj inlabru INLAspacetime intamap intSDM IsoriX itcSegment kehra lakemorpho leaflet lgcp loa mapedit maptools mapview MEDITS meteo meteoForecast MetricGraph momentuHMM morphomap move nodiv npsp oceanic OpenStreetMap OSMscale phyloregion places plotKML pRecipe PWFSLSmoke pycno QRAGadget quadmesh quickmapr RAC raster rasterVis rbgm rcanvec rCAT RCGLS RchivalTag rcrimeanalysis red rgeos RgoogleMaps rleafmap rosm rpostgis RSIP rtop RWmisc sdm sdStaf SeerMapper seg soilassessment SongEvo spacetime SpatialEpi spatialfusion SpatialGraph spatsoc spatsurv spbabel spdep sperich spex spgwr stppSim stxplore SUNGEO SWTools tiler track2KBA TrajDataMining trajectories trip uavRmp vec2dtransf waver WEGE wildlifeDI wkb wux"
"sp","degAxis","satin"
"sp","degreeLabelsEW","graticule RgoogleMaps"
"sp","degreeLabelsNS","graticule rasterVis RgoogleMaps"
"sp","disaggregate","CoordinateCleaner landscapemetrics"
"sp","elide","dartR"
"sp","fullgrid","spDates TUFLOWR"
"sp","geometry","raster"
"sp","get_evolution_status","inlabru"
"sp","get_ll_TOL","spdep"
"sp","get_ll_warn","IsoriX"
"sp","getGridIndex","gmGeostats"
"sp","getGridTopology","gmGeostats landsat pycno spcosa"
"sp","getPolygonCoordsSlot","adehabitatMA"
"sp","getPolygonHoleSlot","adehabitatMA"
"sp","getPolygonsIDSlot","adehabitatMA"
"sp","getPolygonsPolygonsSlot","adehabitatMA"
"sp","getSpPPolygonsLabptSlots","mapReasy"
"sp","getSpPpolygonsSlot","adehabitatMA"
"sp","gridded","dbmss gaiah geoTS IsoriX leafR Morphoscape multimark RAC raster spDates TUFLOWR"
"sp","gridparameters","adehabitatHR adehabitatHS adehabitatLT adehabitatMA gstat intkrige maptools npsp plotKML rworldmap"
"sp","GridTopology","adegraphics AQuadtree bioRad birdring cmsafvis FedData geomerge gfcanalysis gmGeostats gstat lgcp maptools npsp plotKML pycno raster rworldmap surveillance"
"sp","HexPoints2SpatialPolygons","FRK geogrid phyloregion"
"sp","identicalCRS","adehabitatLT AQuadtree ConR FLightR maptools rgeos rmapshaper RWmisc spacetime SpatialPosition spcosa surveillance TrajDataMining trajectories"
"sp","image2Grid","adehabitatMA trip"
"sp","is.projected","intkrige maptools ptools surveillance track2KBA"
"sp","layout.north.arrow","hydroTSM UScensus2010"
"sp","layout.scale.bar","hydroTSM surveillance"
"sp","Line","adehabitatLT animalEKF birdring briskaR calibrationband cleangeo ConR dartR DivE EMbC excursions FEA FRK gDefrag gdistance geodiv gps.track grainscape graticule icosa image.ContourDetector image.LineSegmentDetector inlabru intkrige lakemorpho maptools marmap MetricGraph Momocs move oceanmap OCNet Orcs plotKML PopGenReport quickmapr raster rbgm spacetime SpatialGraph spatsoc spbabel spdep SSN telemac TrajDataMining trajectories trip uavRmp vec2dtransf waver wkb"
"sp","LineLength","maptools MetricGraph plotKML trajectories"
"sp","Lines","adehabitatLT animalEKF birdring briskaR calibrationband cleangeo ConR dartR DivE EMbC excursions FEA FRK gDefrag geodiv gps.track grainscape graticule icosa image.ContourDetector image.LineSegmentDetector inlabru intkrige lakemorpho mapedit maptools mapview marmap MetricGraph Momocs move oceanmap OCNet Orcs plotKML PopGenReport quickmapr raster rbgm rgeos secrlinear spacetime SpatialGraph spatsoc spbabel spdep SSN telemac TrajDataMining trajectories trip uavRmp vec2dtransf waver wkb"
"sp","longlat.scales","spacetime trajectories"
"sp","makegrid","dggridR spatialfusion TUFLOWR"
"sp","mapasp","gstat maptools spacetime trajectories"
"sp","merge","AQuadtree expowo geogrid GWPR.light LabourMarketAreas modchart openSTARS phyloregion SUMMER"
"sp","over","AFM animalEKF animaltracker antaresViz ASGS.foyer bioRad cmsafvis ConR CoordinateCleaner FLightR FORTLS GeoAdjust geoR inlabru INLAspacetime iSDM itcSegment multimark ohun phyloregion ptools raster red rLiDAR seg sfdct StatDA SUMMER SWTools wux"
"sp","overDF_for_rgeos","rgeos spacetime"
"sp","plot","animalEKF camtrapR cartography ceramic ConR cooltools ctmm dismo DrugSim2DR FEA FLightR geogrid GGoutlieR graphx hero hypervolume icosa image.ContourDetector image.LineSegmentDetector KnowBR multimark raster rcanvec RgoogleMaps rosm spatsurv SubgrPlots SUMMER"
"sp","point.in.polygon","animalEKF bamlss BasketballAnalyzeR cholera colorscience ctmm dismo EEM ei espadon FeedbackTS frenchCurve gazepath geoBayes gmGeostats gMOIP gstat GWSDAT inlabru IsoriX Kernelheaping marmap morphomap Morphoscape mosaicCalc muHVT pavo RapidPolygonLookup rasterVis rbgm RclusTool rddapp rerddapXtracto soiltexture surveillance Ternary vivid Cardinal flowDensity SPIAT structToolbox"
"sp","points2grid","FRK gmGeostats multimark nodiv"
"sp","Polygon","abmR adegraphics adehabitatHR adehabitatMA AFM angstroms animalEKF animaltracker AQuadtree archiDART automap bamlss BayesX briskaR changeRangeR cholera cleangeo ctmm DEPONS2R dggridR dismo doolkit DRHotNet dtwSat eechidna elevatr excursions FEA FORTLS FRK gecko geojsonio geoR GeoRange ggvoronoi gwfa hemispheR hero icosa inlabru INLAspacetime intamap Irescale iSDM itcSegment landscapemetrics leafletCN leastcostpath lgcp maptools meteo micromap Momocs movecost mvGPS naturaList oceanmap ohun Orcs patternize perspectev pgirmess phenopix phyloregion PopGenReport psda ptools quickmapr r2d2 raster rbgm RchivalTag rcrimeanalysis red redlistr refreg rgeos rLiDAR rtop scBio SDPDmod SeuratObject soilassessment SpatialEpi spatialfusion spatsurv spbabel SRTsim SSDM StatDA STMedianPolish stppSim SubgrPlots SUMMER surveillance TrajDataMining uavRmp vec2dtransf Watersheds waver wkb wux cellmigRation flowDensity SPIAT"
"sp","polygons","BayesX leaflet"
"sp","Polygons","abmR adegraphics adehabitatHR adehabitatMA AFM angstroms animalEKF animaltracker AQuadtree bamlss BayesX briskaR changeRangeR cleangeo ConR CoordinateCleaner ctmm DEPONS2R dggridR dismo DRHotNet dtwSat elevatr excursions FEA FORTLS FRK gecko geojsonio geoR ggvoronoi gwfa hemispheR hero icosa inlabru INLAspacetime intamap iSDM itcSegment landscapemetrics leafletCN leastcostpath lgcp mapedit maptools mapview meteo micromap Momocs movecost mvGPS naturaList oceanmap ohun Orcs patternize perspectev pgirmess phenopix phyloregion polyCub PopGenReport psda ptools quickmapr r2d2 raster rbgm RchivalTag rcrimeanalysis red redlistr refreg rgeos rLiDAR rtop scBio SDPDmod SeuratObject soilassessment SpatialEpi spatialfusion spatsurv spbabel spex spgwr SSDM StatDA STMedianPolish stppSim SubgrPlots surveillance TrajDataMining uavRmp vec2dtransf Watersheds waver wkb wux xROI flowDensity SPIAT"
"sp","proj4string","AGPRIS AquaBEHER bioRad bivariatemaps bRacatus canadianmaps cmsafvis ConR CoordinateCleaner crawl ctmm elevatr epitweetr FLightR GeodesiCL geodiv geojsonio gmGeostats GPSeqClus hydroTSM IsoriX lakemorpho loa mapview MetricGraph momentuHMM oceanmap pRecipe ptools RAC raster RgoogleMaps rpostgis scBio spDates stxplore SUMMER SUNGEO trip TUFLOWR uavRmp"
"sp","rbind.SpatialPointsDataFrame","geospt"
"sp","rbind.SpatialPolygonsDataFrame","malariaAtlas"
"sp","read.asciigrid","landsat phyloclim"
"sp","remove.duplicates","intamap uavRmp"
"sp","select.spatial","MetaLandSim"
"sp","set_evolution_status","inlabru"
"sp","set_ll_warn","IsoriX"
"sp","sp.grid","adegraphics"
"sp","sp.lines","adegraphics intkrige"
"sp","sp.points","adegraphics IsoriX"
"sp","sp.polygons","adegraphics IsoriX"
"sp","SpatialGrid","adegraphics bioRad cmsafvis gfcanalysis gmGeostats gstat lgcp maptools multimark plotKML pycno raster surveillance"
"sp","SpatialGridDataFrame","bioRad geojsonio geomerge gmGeostats inlabru intamap lgcp maptools npsp plotKML raster rworldmap spcosa trip"
"sp","SpatialLines","adehabitatLT animalEKF birdring briskaR calibrationband cleangeo ConR dartR DivE EMbC excursions FEA FRK gDefrag gdistance geodiv gps.track grainscape graticule icosa image.ContourDetector image.LineSegmentDetector inlabru intkrige lakemorpho landscapemetrics leaflet maptools marmap MetricGraph Momocs move oceanmap OCNet Orcs plotKML PopGenReport quickmapr raster rbgm rgeos rpostgis secrlinear spacetime SpatialGraph spatsoc spbabel spdep SSN telemac TrajDataMining trajectories trip uavRmp vec2dtransf waver wkb"
"sp","SpatialLinesDataFrame","adehabitatLT ConR EMbC epiflows gDefrag geojsonio gps.track grainscape graph4lg graticule gstat inlabru intamap leastcostpath maptools move movecost OCNet Orcs plotKML raster rbgm rmapshaper rpostgis secrlinear shp2graph SpatialGraph spbabel spdep SSN TrajDataMining trajectories trip vec2dtransf"
"sp","SpatialLinesLengths","dartR gDefrag PopGenReport SDPDmod secrlinear topoDistance TrajDataMining trajectories"
"sp","SpatialMultiPoints","rpostgis spbabel"
"sp","SpatialMultiPointsDataFrame","rpostgis spbabel"
"sp","SpatialPixels","FRK geogrid gmGeostats lgcp nodiv raster spatsurv track2KBA"
"sp","SpatialPixelsDataFrame","FRK gmGeostats inlabru intamap intkrige lgcp marmap nodiv PointedSDMs pycno raster rLiDAR rpostgis seg spatsurv spcosa sperich surveillance"
"sp","SpatialPoints","abmR adehabitatHR adehabitatMA AFM AGPRIS angstroms animalEKF antaresViz aqp ASGS.foyer atakrig automap bamlss biogeo bioRad birdring birdscanR changeRangeR cmsafops cmsafvis CoordinateCleaner covatest ctmm dbmss DEPONS2R dynamAedes ecospat eechidna elevatr epcc FEA FLightR FORTLS FRK GeoAdjust geojsonio geoR GInSARCorW gmGeostats GPSeqClus grainscape gstat hydroTSM hypervolume icardaFIGSr iccTraj IDE inlabru INLAspacetime intamap isocat itcSegment kehra lakemorpho lgcp maptools marmap memgene MetaLandSim MetricGraph Morphoscape move multimark nodiv npsp oceanic ohun phyloclim pycno quadmesh quickmapr r2d2 raptr raster rasterVis rcanvec red refreg rgeos rLiDAR rosm rpostgis rtop sdStaf seg SeuratObject spacetime spatialfusion spatsurv spbabel spcosa sperich spqdep SSDM SSN StatDA STMedianPolish stppSim stxplore surveillance SWTools telemac topoDistance track2KBA TrajDataMining trajectories trip TUFLOWR uavRmp UBL vec2dtransf VIM walkboutr Watersheds wkb wux"
"sp","SpatialPointsDataFrame","adehabitatLT AFM animalEKF animaltracker aqp biogeo bioRad briskaR ctmm dartR dbmss DEPONS2R dtwSat ecospat elevatr FeedbackTS FORTLS FRK gDefrag geodetector geojsonio ggvoronoi gmGeostats GPSeqClus graph4lg gstat gwer inlabru intamap intkrige intSDM landscapemetrics lidR maptools marmap MetricGraph move naturaList nodiv OCNet places plotKML PointedSDMs psgp PWFSLSmoke raster rasterVis rbgm RgoogleMaps rmapshaper rpostgis rtop sdm secrlinear seg SongEvo SpatialBSS spatialfusion SpatialGraph spatsoc spbabel spcosa spDates spgwr SSN surveillance telemac track2KBA trip TUFLOWR uavRmp vec2dtransf"
"sp","SpatialPolygons","abmR adegraphics adehabitatHR adehabitatMA AFM angstroms animalEKF animaltracker AQuadtree bamlss BayesX birdring briskaR changeRangeR cleangeo ConR CoordinateCleaner ctmm DEPONS2R dggridR dismo DRHotNet dtwSat elevatr excursions FEA FLightR FORTLS FRK gecko geojsonio geoR ggvoronoi gwfa hemispheR hero icosa inlabru INLAspacetime intamap iSDM itcSegment lakemorpho landscapemetrics leafletCN leastcostpath lgcp maptools meteo micromap Momocs movecost mvGPS naturaList oceanmap ohun Orcs patternize pgirmess phenopix phyloregion polyCub PopGenReport psda ptools quickmapr r2d2 raster rbgm RchivalTag rcrimeanalysis red redlistr refreg rgeos rLiDAR rpostgis rtop scBio SDPDmod SeuratObject soilassessment SpatialEpi spatialfusion spatsurv spbabel spex SSDM StatDA STMedianPolish stppSim SubgrPlots surveillance TrajDataMining uavRmp vec2dtransf Watersheds waver wkb wux xROI flowDensity SPIAT"
"sp","SpatialPolygonsDataFrame","adehabitatHR AQuadtree briskaR cleangeo ConR CoordinateCleaner ctmm dismo eechidna FedData FLightR FORTLS FRK geogrid ggvoronoi graticule gstat gwer gwfa inlabru intamap itcSegment LabourMarketAreas landsepi leafletCN leastcostpath lgcp maptools Orcs patternize pgirmess phyloregion plotKML ptools raster rbgm RchivalTag red rgeos rLiDAR rpostgis rtop SeerMapper seg spatialfusion spatsurv spbabel spex spgwr stppSim TrajDataMining uavRmp vec2dtransf"
"sp","spChFIDs","antaresViz APfun bRacatus"
"sp","spDists","aire.zmvm automap cshapes FLightR geoBayes geogrid gstat HDSpatialScan hero Hmsc iccTraj inlabru intkrige meteo MetricGraph rtop smacpod SongEvo spdep sphet STMedianPolish trackeR trajectories walkboutr"
"sp","spDistsN1","AFM chillR cholera cmsafops FLightR geogrid GWLelast intamap momentuHMM move moveHMM rbgm rtop spDates spgwr surveillance track2KBA wux"
"sp","spplot","disaggregation hydroPSO hydroTSM intkrige SpatialBSS spDates SUMMER"
"sp","spsample","animalEKF cholera ctmm dots FEA FLightR FRK geogrid hero icosa leastcostpath Momocs phyloregion raptr raster spDates"
"sp","spTransform","AGPRIS antaresViz bioRad bivariatemaps canadianmaps CoordinateCleaner ctmm elevatr epitweetr fastmaRching FLightR GeoAdjust GeodesiCL icosa INLAspacetime loa mapedit mapview momentuHMM mregions quickmapr raster rcanvec RgoogleMaps rosm rpostgis SeerMapper SUNGEO track2KBA uavRmp"
"sp","surfaceArea","lidR"
"sp","wkt","elevatr inlabru"
"sp","zerodist","automap gstat intamap meteo rgeos spacetime spDates"
